ID,Numero_Sucursal,Nombre,Ciudad,Estado,Direccion,Coordenadas,,Zenput_ID
79,69,69 - Puerto Rico,Matamoros,Tamaulipas,,"25.85216263124893, -97.52773895044993",,2247068
80,70,70 - Coahuila Comidas,Piedras Negras,Coahuila,,"28.700335166118027, -100.52329289012623",,2247069
81,71,71 - Centrito Valle,San Pedro Garza García,Nuevo León,,"25.657859565514137, -100.36525787288132",,2247070
82,72,72 - Sabinas Hidalgo,Sabinas Hidalgo,Nuevo León,,"26.509347128394964, -100.17482009724127",,2247071
83,73,73 - Anzalduas,Reynosa,Tamaulipas,,"26.08731291976251, -98.28502358774332",,2247072
84,74,74 - Hidalgo (Reynosa),Reynosa,Tamaulipas,,"26.068393254150966, -98.33682440428377",,2247073
85,75,75 - Libramiento (Reynosa),Reynosa,Tamaulipas,,"26.045423583881956, -98.3146568748662",,2247074
86,76,76 - Aeropuerto (Reynosa),Reynosa,Tamaulipas,,"26.020566308880568, -98.22797971714971",,2247075
87,77,77 - Boulevard Morelos,Reynosa,Tamaulipas,,"26.066054476661996, -98.29300319140309",,2247076
88,78,78 - Alcala,Reynosa,Tamaulipas,,"26.00825080453465, -98.2761345644179",,2247077
89,79,79 - Rio Bravo,Río Bravo,Tamaulipas,,"25.984557589689995, -98.09043334206594",,2247078
90,80,80 - Guerrero 2 (Ruelas),Nuevo Laredo,Tamaulipas,,"27.47701919822549, -99.50785853919514",,2247079
91,81,81 - Reforma (Ruelas),Nuevo Laredo,Tamaulipas,,"27.445253149888835, -99.52080932574661",,2247080
92,82,82 - Aeropuerto Nuevo Laredo,Nuevo Laredo,Tamaulipas,,"27.514326638660112, -99.56265939271763",,2247081
93,93,83 - Cerradas de Anahuac,General Escobedo,Nuevo León,401 Avenida Concordia,"25.785732112716154, -100.28004375427862",,2260766
94,94,84 - Aeropuerto del Norte,Ciénega de Flores,Nuevo León,Km. 23.2 Autopista Monterrey - Nuevo Laredo,"25.872453844485992, -100.22957599236578",,2260636
95,95,85 - Diego Diaz,San Nicolás de los Garza,Nuevo León,198 Avenida Diego Díaz de Berlanga,"25.742390433874363, -100.26368228213246",,2260765
